feature,importance,fold
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,274,1
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,89,1
PREV_NAME_GOODS_CATEGORY_Homewares_MEAN,26,1
PREV_NAME_GOODS_CATEGORY_House_Construction_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Insurance_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,102,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,19,1
PREV_NAME_GOODS_CATEGORY_Medicine_MEAN,24,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,496,1
PREV_NAME_GOODS_CATEGORY_Office_Appliances_MEAN,6,1
PREV_NAME_GOODS_CATEGORY_Other_MEAN,12,1
PREV_NAME_GOODS_CATEGORY_Photo_Cinema_Equipment_MEAN,245,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,89,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,128,1
PREV_NAME_GOODS_CATEGORY_Weapon_MEAN,0,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,235,1
PREV_NAME_GOODS_CATEGORY_nan_MEAN,0,1
PREV_NAME_PORTFOLIO_Cards_MEAN,216,1
PREV_NAME_PORTFOLIO_Cars_MEAN,0,1
PREV_NAME_PORTFOLIO_Cash_MEAN,464,1
PREV_NAME_PORTFOLIO_POS_MEAN,366,1
PREV_NAME_PORTFOLIO_XNA_MEAN,343,1
PREV_NAME_PORTFOLIO_nan_MEAN,0,1
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,485,1
PREV_NAME_PRODUCT_TYPE_walk_in_MEAN,324,1
PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,499,1
PREV_NAME_PRODUCT_TYPE_nan_MEAN,0,1
